sample_id,cell_id,channel,crop_path,label,confidence,notes,annotated_at,top_genes
13,bnkegfpp-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/bnkegfpp-1.tif,noise,0.8,,2026-08-11T15:47:33,"PTPRC, CTLA4, CD3E, CCR7, CXCR4"
14,bnmiblld-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/bnmiblld-1.tif,noise,0.8,,2026-08-11T15:47:42,"HLA-DRA, VIM, CXCL10, C1orf162, CXCL9"
15,boebokjl-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/boebokjl-1.tif,noise,0.8,,2026-08-11T15:47:49,"HLA-DRA, PLA2G7, IL2RA, CD163, MS4A6A"
16,bofnchii-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/bofnchii-1.tif,noise,0.8,,2026-08-11T15:47:53,"PTPRC, CD3E, PCNA, RTKN2, CD27"
17,bohadoca-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/bohadoca-1.tif,noise,0.8,,2026-08-11T15:48:11,"MS4A1, PTPRC, PTGDS, VIM, CD19"
18,bonmjdfn-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/bonmjdfn-1.tif,signal,0.8,,2026-08-11T15:48:15,"HLA-DRA, HLA-DRB1, KCNMA1, CD4, MS4A6A"
19,caiplben-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/caiplben-1.tif,signal,0.8,,2026-08-11T15:48:20,"HLA-DRA, FCGR3A, CD68, CD14, VIM"
20,cdlhfafj-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/cdlhfafj-1.tif,noise,0.8,,2026-08-11T15:48:53,"VIM, HLA-DRA, CXCL6, CD3E, HLA-DRB1"
21,cdpehdko-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/cdpehdko-1.tif,noise,0.8,,2026-08-11T15:48:57,"VIM, HAVCR2, SERPINB9, PTEN, MS4A6A"
22,ceihnmcc-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/ceihnmcc-1.tif,noise,0.8,,2026-08-11T15:49:04,"VIM, HLA-DRA, CCL5, CXCL9, GEM"
23,cgcenblp-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/cgcenblp-1.tif,noise,0.8,,2026-08-11T15:49:07,"PTPRC, CYTIP, SELL, LYVE1, MS4A4A"
24,cgfaphka-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/cgfaphka-1.tif,noise,0.8,,2026-08-11T15:49:11,"CXCR4, SELL, CD28, PTPRC, KRT5"
25,cikmeock-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/cikmeock-1.tif,signal,0.8,,2026-08-11T15:49:14,"PTPRC, CTLA4, HLA-DRA, HAVCR2, VIM"
26,ciknbeon-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/ciknbeon-1.tif,signal,0.8,,2026-08-11T15:49:19,"PTPRC, VIM, HLA-DRA, IL7R, KLRB1"
27,cimheoof-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/cimheoof-1.tif,signal,0.8,,2026-08-11T15:49:26,"HLA-DRA, MS4A1, CCR7, HLA-DRB1, PTPRC"
28,cjboendn-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/cjboendn-1.tif,signal,0.15,,2026-08-14T09:56:18,"CD68, PTGDS, TRAC, CD163, SELL"
29,ckpdoeii-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/ckpdoeii-1.tif,signal,0.4,,2026-08-14T09:56:29,"VIM, PTPRC, TRAC, VCAN, CD2"
30,clhllggn-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/clhllggn-1.tif,signal,0.4,,2026-08-14T09:56:33,"HLA-DRA, MS4A1, VIM, PTEN, SERPINB9"
31,cmnhmffp-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/cmnhmffp-1.tif,unclear,0.4,,2026-08-14T09:56:40,"VIM, MZB1, CD68, HLA-DRA, CSF2RA"
32,cpfahjkf-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/cpfahjkf-1.tif,signal,0.7,,2026-08-14T09:56:48,"VIM, GNLY, KLRB1, CD2, CCL5"
33,dbdpjfmb-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/dbdpjfmb-1.tif,signal,0.7,,2026-08-14T09:56:56,"HLA-DRA, VIM, HLA-DRB1, MPEG1, ITGAX"
34,dibbncpb-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/dibbncpb-1.tif,signal,0.7,,2026-08-14T09:57:04,"HLA-DRA, HLA-DRB1, FGL2, VIM, PTEN"
35,djieflle-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/djieflle-1.tif,noise,0.1,,2026-08-14T09:57:11,"HLA-DRA, FCGR3A, VIM, FCGR3B, C1orf162"
36,dkegoojf-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/dkegoojf-1.tif,signal,0.35,,2026-08-14T09:57:18,"HLA-DRA, FCGR3A, VIM, HLA-DRB1, MPEG1"
37,dkeolabk-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/dkeolabk-1.tif,signal,0.5,,2026-08-14T09:57:25,"HLA-DRA, HLA-DRB1, MS4A6A, ITGAX, VIM"
38,dmalmodp-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/dmalmodp-1.tif,signal,0.5,,2026-08-14T09:57:33,"PTPRC, ADAM28, PDGFRB, CD69, GNLY"
39,dmnnkojn-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/dmnnkojn-1.tif,signal,0.2,,2026-08-14T09:58:11,"CXCL9, HLA-DRA, FCGR3A, PTPRC, VIM"
40,dnobloeo-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/dnobloeo-1.tif,unclear,0.2,,2026-08-14T09:58:19,"HLA-DRA, PTEN, HLA-DRB1, VIM, MS4A4A"
41,dphfoolb-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/dphfoolb-1.tif,signal,0.4,,2026-08-14T09:58:25,"ITGAX, KLRD1, CD2, FKBP11, IL7R"
42,ebcelccl-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/ebcelccl-1.tif,signal,0.3,,2026-08-14T09:58:35,"CD8A, PTPRC, GZMK, VIM, CD2"
43,ecpifehj-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/ecpifehj-1.tif,unclear,0.3,,2026-08-14T09:58:51,"MS4A1, VIM, HLA-DRA, PTPRC, CXCR4"
44,eeihmfod-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/eeihmfod-1.tif,signal,0.65,,2026-08-14T09:58:58,"HLA-DRA, FCGR3A, VIM, CD68, HLA-DRB1"
45,effkennj-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/effkennj-1.tif,signal,0.8,,2026-08-14T10:00:50,"HLA-DRA, VIM, HLA-DRB1, MET, GLIPR1"
46,efibceeh-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/efibceeh-1.tif,signal,0.2,,2026-08-14T10:00:57,"CCL5, HAVCR2, PTPRC, HLA-DRB1, PECAM1"
47,efjbapki-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/efjbapki-1.tif,signal,0.4,,2026-08-14T09:59:59,"PTPRC, VIM, IL7R, CD3E, HLA-DRA"
48,eigahnjj-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/eigahnjj-1.tif,unclear,0.4,,2026-08-14T10:00:23,"HLA-DRA, MS4A1, CXCR4, BANK1, PTPRC"
49,eikimphn-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/eikimphn-1.tif,unclear,0.4,,2026-08-14T10:01:08,"PTPRC, HLA-DRA, TRAC, CD8A, IL2RA"
50,eimhpgfm-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/eimhpgfm-1.tif,signal,0.4,,2026-08-14T10:01:17,"VIM, HLA-DRA, C1orf162, LILRB2, PTPRC"
51,faheemfn-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/faheemfn-1.tif,signal,0.4,,2026-08-14T10:01:23,"KLRB1, KLRD1, IL7R, SLAMF7, VIM"
52,faijkdom-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/faijkdom-1.tif,signal,0.4,,2026-08-14T10:01:29,"VIM, HLA-DRA, CTLA4, PTPRC, VSIR"
53,fakfeafp-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/fakfeafp-1.tif,signal,0.2,,2026-08-14T10:01:35,"VIM, HAVCR2, TRAC, CD8A, HLA-DRA"
54,fdehpnbl-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/fdehpnbl-1.tif,signal,0.2,,2026-08-14T10:01:41,"CXCL9, VIM, CD68, GZMA, TIGIT"
55,fgbihmee-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/fgbihmee-1.tif,signal,0.2,,2026-08-14T10:01:47,"PTPRC, VIM, CCR7, PTEN, IL7R"
56,fgdakake-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/fgdakake-1.tif,signal,0.2,,2026-08-14T10:01:53,"HLA-DRA, PTPRC, GPR183, VIM, HLA-DRB1"
57,fihhkkoi-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/fihhkkoi-1.tif,signal,0.2,,2026-08-14T10:01:59,"HLA-DRA, HLA-DRB1, CXCR4, BCL2L11, MS4A4A"
58,gedkacjm-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/gedkacjm-1.tif,signal,0.2,,2026-08-14T10:02:04,"VIM, HLA-DRA, FOXP3, PTEN, MPEG1"
59,gfoldakc-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/gfoldakc-1.tif,unclear,0.8,,2026-08-14T10:04:19,"VIM, HLA-DRA, CD28, CD4, SERPINB9"
60,gjdngnll-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/gjdngnll-1.tif,unclear,0.45,,2026-08-14T10:04:25,"HLA-DRA, VIM, HLA-DRB1, VSIG4, C1orf162"
61,gkbeclhp-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/gkbeclhp-1.tif,signal,0.45,,2026-08-14T10:04:30,"HLA-DRA, HLA-DRB1, BASP1, LILRB2, PLA2G7"
62,gkfnebkl-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/gkfnebkl-1.tif,signal,0.45,,2026-08-14T10:04:35,"HLA-DRA, VIM, VCAN, HLA-DRB1, FCGR3A"
63,hjdkgnok-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/hjdkgnok-1.tif,signal,0.65,,2026-08-14T10:07:03,"VIM, PECAM1, CAVIN2, ADAMTS1, MMRN1"
64,hkjfijcd-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/hkjfijcd-1.tif,signal,0.65,,2026-08-14T10:07:08,"HLA-DRA, VIM, PDGFRB, CCL5, RGS16"
65,ienknoab-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/ienknoab-1.tif,signal,0.25,,2026-08-14T10:07:13,"VIM, PTPRC, FCGR3B, HLA-DRA, FGL2"
66,igkdhdom-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/igkdhdom-1.tif,signal,0.25,,2026-08-14T10:07:18,"VIM, HLA-DRA, HLA-DRB1, CFB, FHL2"
67,ijlgnmni-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/ijlgnmni-1.tif,signal,0.15,,2026-08-14T10:07:23,"HLA-DRA, VIM, CD4, CD68, HAVCR2"
68,ipdkgpdb-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/ipdkgpdb-1.tif,signal,0.15,,2026-08-14T10:07:28,"HLA-DRA, PTPRC, VIM, ITGAX, MS4A6A"
69,jchjcbfd-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/jchjcbfd-1.tif,signal,0.15,,2026-08-14T10:07:32,"VIM, KRT18, MET, CXCL9, BASP1"
70,jejgengm-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/jejgengm-1.tif,unclear,0.15,,2026-08-14T10:07:38,"HLA-DRA, VIM, HLA-DRB1, CD4, CXCL9"
71,jfmedcjc-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/jfmedcjc-1.tif,signal,0.25,,2026-08-14T10:07:43,"HLA-DRA, VIM, FCGR3A, MS4A6A, CTLA4"
72,jgpfneic-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/jgpfneic-1.tif,unclear,0.25,,2026-08-14T10:07:49,"HLA-DRA, CXCR4, CD4, AIF1, MYC"
73,jhmckhlf-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/jhmckhlf-1.tif,unclear,0.25,,2026-08-14T10:07:56,"MDM2, VIM, ACTA2, HLA-DRA, LAMP3"
74,jhopefhl-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/jhopefhl-1.tif,unclear,0.25,,2026-08-14T10:08:01,"VIM, CENPF, CDK1, KRT8, MET"
75,jkpbkkej-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/jkpbkkej-1.tif,signal,0.25,,2026-08-14T10:08:06,"VIM, TNC, BASP1, MNDA, ASCL1"
76,jkpbogfc-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/jkpbogfc-1.tif,unclear,0.25,,2026-08-14T10:08:12,"TNC, VIM, MYLK, ALDH1A3, TNFRSF9"
77,jlkjdofm-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/jlkjdofm-1.tif,unclear,0.25,,2026-08-14T10:08:17,"VSIR, PTPRC, CYTIP, CD3E, SELL"
78,jllbkjdo-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/jllbkjdo-1.tif,signal,0.35,,2026-08-14T10:08:23,"HLA-DRA, VIM, CD68, HLA-DRB1, CD4"
79,kejebcek-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/kejebcek-1.tif,signal,0.35,,2026-08-14T10:08:29,"HLA-DRA, CXCL9, FGL2, SLAMF7, FCGR3B"
80,kmimnggo-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/kmimnggo-1.tif,signal,0.35,,2026-08-14T10:08:40,"HLA-DRA, VIM, CXCL9, CCL19, BCL2L11"
81,koafdlbk-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/koafdlbk-1.tif,signal,0.35,,2026-08-14T10:09:08,"HLA-DRA, VIM, FCGR3A, HAVCR2, C1orf162"
82,kpfjlgbl-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/kpfjlgbl-1.tif,signal,0.2,,2026-08-14T10:09:29,"IL7R, CCR7, PTPRC, CD3D, KRT18"
83,lagofhie-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/lagofhie-1.tif,signal,0.2,,2026-08-14T10:09:34,"MS4A1, HLA-DRA, VIM, PTPRC, CXCL10"
84,lbemmiff-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/lbemmiff-1.tif,unclear,0.2,,2026-08-14T10:10:34,"VIM, TIGIT, TRAC, IRF8, CD28"
85,lblhebnn-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/lblhebnn-1.tif,signal,0.4,,2026-08-14T10:10:42,"CD14, LYVE1, HLA-DRA, C1orf162, FCGR3A"
86,ldkdmiog-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/ldkdmiog-1.tif,signal,0.15,,2026-08-14T10:11:10,"CD163, PTPRC, MS4A6A, IL2RA, HLA-DRA"
87,ldknnabk-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/ldknnabk-1.tif,signal,0.15,,2026-08-14T10:11:34,"PTPRC, HLA-DRB1, GZMK, SERPINB9, CD3D"
88,lhkbdnbg-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/lhkbdnbg-1.tif,unclear,0.15,,2026-08-14T10:11:40,"HLA-DRA, VIM, CD68, PLA2G7, CXCL9"
89,lmhdbfpg-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/lmhdbfpg-1.tif,signal,0.15,,2026-08-14T10:12:05,"HLA-DRB1, VCAN, CXCR4, HLA-DRA, PTPRC"
90,lokincgm-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/lokincgm-1.tif,signal,0.15,,2026-08-14T10:12:23,"HLA-DRA, FCGR3B, HLA-DRB1, VIM, FCGR1A"
91,malkjifc-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/malkjifc-1.tif,signal,0.15,,2026-08-14T10:12:28,"HLA-DRB1, CXCR4, SERPINB9, HLA-DRA, VIM"
92,nhkmjcjf-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/nhkmjcjf-1.tif,signal,0.15,,2026-08-14T10:12:33,"CXCL9, FCGR3A, VIM, C1orf162, CD3E"
93,nmbpjdhb-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/nmbpjdhb-1.tif,signal,0.15,,2026-08-14T10:13:32,"HLA-DRA, VIM, FCGR3A, PRDM1, PECAM1"
94,nmomfeod-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/nmomfeod-1.tif,unclear,0.15,,2026-08-14T10:15:16,"HLA-DRB1, HLA-DRA, CD8A, GPC1, PCNA"
95,nplchmmb-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/nplchmmb-1.tif,unclear,0.15,,2026-08-14T10:15:40,"HLA-DRA, HLA-DRB1, CYTIP, CD4, DUSP2"
96,npnkkdjn-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/npnkkdjn-1.tif,unclear,0.15,,2026-08-14T10:16:25,"HLA-DRA, VIM, C1orf162, MPEG1, CD14"
97,oajpeeam-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/oajpeeam-1.tif,unclear,0.15,,2026-08-14T10:16:31,"VIM, PECAM1, MYC, HLA-DRA, C1orf162"
98,ocndlgli-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/ocndlgli-1.tif,unclear,0.15,,2026-08-14T10:16:36,"HLA-DRA, HLA-DRB1, VIM, CD68, FCGR3A"
99,odfgkjgi-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/odfgkjgi-1.tif,signal,0.15,,2026-08-14T10:16:41,"HLA-DRA, CXCR4, VIM, MS4A1, SELL"
100,ogfkddii-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/ogfkddii-1.tif,signal,0.15,,2026-08-14T10:16:45,"HLA-DRA, VIM, CD14, FCGR1A, HLA-DRB1"
101,accnnolb-1,CD138,/data/yzy21/yy/aaran/out/crops/CD138/accnnolb-1.tif,signal,0.45,,2026-08-14T10:16:50,"PRDM1, SLAMF7, VIM, CYTIP, THAP2"
102,adafdpaj-1,CD138,/data/yzy21/yy/aaran/out/crops/CD138/adafdpaj-1.tif,signal,0.45,,2026-08-14T10:16:55,"CD8A, CD3D, LAG3, VIM, CD3E"
103,adkjdgjd-1,CD138,/data/yzy21/yy/aaran/out/crops/CD138/adkjdgjd-1.tif,signal,0.1,,2026-08-14T10:17:01,"PTPRC, CD8A, CXCR4, VIM, SELL"
104,angfmgom-1,CD138,/data/yzy21/yy/aaran/out/crops/CD138/angfmgom-1.tif,signal,0.65,,2026-08-14T10:17:07,"MZB1, TENT5C, PRDM1, HLA-DRA, SLAMF7"
105,bfdggkjf-1,CD138,/data/yzy21/yy/aaran/out/crops/CD138/bfdggkjf-1.tif,signal,0.3,,2026-08-14T10:17:13,"SLAMF7, MZB1, HLA-DRA, MDM2, FCGR3A"
106,bfelhmoo-1,CD138,/data/yzy21/yy/aaran/out/crops/CD138/bfelhmoo-1.tif,signal,0.2,,2026-08-14T10:17:25,"SLAMF7, TENT5C, VIM, MEF2C, TNFRSF17"
107,bfhcmnke-1,CD138,/data/yzy21/yy/aaran/out/crops/CD138/bfhcmnke-1.tif,signal,0.2,,2026-08-14T10:17:44,"FKBP11, PECAM1, SDC1, HLA-DRA, SLAMF7"
108,bfhffiih-1,CD138,/data/yzy21/yy/aaran/out/crops/CD138/bfhffiih-1.tif,signal,0.2,,2026-08-14T10:17:49,"PECAM1, MZB1, VIM, SDC1, SLAMF7"
109,bfhhphbp-1,CD138,/data/yzy21/yy/aaran/out/crops/CD138/bfhhphbp-1.tif,signal,0.7,,2026-08-14T10:17:56,"TENT5C, VIM, MZB1, PECAM1, HLA-DRA"
110,bgcmolmm-1,CD138,/data/yzy21/yy/aaran/out/crops/CD138/bgcmolmm-1.tif,signal,0.7,,2026-08-14T10:18:00,"MZB1, TENT5C, HLA-DRA, CD86, MS4A6A"
111,bgpagcjb-1,CD138,/data/yzy21/yy/aaran/out/crops/CD138/bgpagcjb-1.tif,noise,0.8,,2026-08-21T13:12:41,"HLA-DRA, SLAMF7, PECAM1, TNFRSF17, MZB1"
112,bjcniede-1,CD138,/data/yzy21/yy/aaran/out/crops/CD138/bjcniede-1.tif,unclear,0.8,,2026-08-21T13:13:19,"VIM, SLAMF7, MZB1, PRDM1, TENT5C"
113,blegkpee-1,CD138,/data/yzy21/yy/aaran/out/crops/CD138/blegkpee-1.tif,signal,0.8,,2026-08-21T13:13:28,"TNC, MZB1, PECAM1, VIM, ACTA2"
114,boailmaf-1,CD138,/data/yzy21/yy/aaran/out/crops/CD138/boailmaf-1.tif,signal,0.8,,2026-08-21T13:13:35,"VIM, SERPINB9, TENT5C, CD14, CD3E"
115,bofbkohc-1,CD138,/data/yzy21/yy/aaran/out/crops/CD138/bofbkohc-1.tif,signal,0.8,,2026-08-21T13:13:41,"TENT5C, CYTIP, SLAMF7, MZB1, FKBP11"
116,bogoicaj-1,CD138,/data/yzy21/yy/aaran/out/crops/CD138/bogoicaj-1.tif,signal,0.8,,2026-08-21T13:14:48,"VIM, TENT5C, PECAM1, MZB1, FKBP11"
117,bojmlnio-1,CD138,/data/yzy21/yy/aaran/out/crops/CD138/bojmlnio-1.tif,signal,0.8,,2026-08-21T13:36:11,"VIM, PTPRC, CD3E, CTLA4, CYTIP"
118,cadknopk-1,CD138,/data/yzy21/yy/aaran/out/crops/CD138/cadknopk-1.tif,,,,,"PECAM1, CD2, VIM, CYTIP, CD8A"
119,cchhfghl-1,CD138,/data/yzy21/yy/aaran/out/crops/CD138/cchhfghl-1.tif,signal,0.8,,2026-08-21T13:37:44,"PECAM1, SDC1, TENT5C, VIM, BCL2L11"
120,ccjodcmc-1,CD138,/data/yzy21/yy/aaran/out/crops/CD138/ccjodcmc-1.tif,unclear,0.8,,2026-08-21T13:37:56,"MZB1, PECAM1, TENT5C, SLAMF7, BCL2L11"
121,cdchhkcm-1,CD138,/data/yzy21/yy/aaran/out/crops/CD138/cdchhkcm-1.tif,,,,,"CD8A, PECAM1, GZMA, CD3E, VIM"
122,cddlfhcf-1,CD138,/data/yzy21/yy/aaran/out/crops/CD138/cddlfhcf-1.tif,signal,0.8,,2026-08-21T13:38:43,"HLA-DRA, VIM, MZB1, SDC1, CXCR4"
123,cdfkokdg-1,CD138,/data/yzy21/yy/aaran/out/crops/CD138/cdfkokdg-1.tif,signal,0.8,,2026-08-21T13:38:49,"MZB1, MEF2C, SDC1, DPEP1, TENT5C"
124,cdgeglha-1,CD138,/data/yzy21/yy/aaran/out/crops/CD138/cdgeglha-1.tif,signal,0.8,,2026-08-21T13:38:59,"VIM, PECAM1, SDC1, MZB1, TENT5C"
125,cegbmenm-1,CD138,/data/yzy21/yy/aaran/out/crops/CD138/cegbmenm-1.tif,signal,0.8,,2026-08-21T13:40:02,"VIM, PECAM1, SLAMF7, MZB1, ANPEP"
126,ceicdglh-1,CD138,/data/yzy21/yy/aaran/out/crops/CD138/ceicdglh-1.tif,,,,,"TENT5C, PECAM1, FKBP11, SDC1, MZB1"
127,cmhpnodd-1,CD138,/data/yzy21/yy/aaran/out/crops/CD138/cmhpnodd-1.tif,signal,0.8,,2026-08-21T13:40:26,"MZB1, PECAM1, SLAMF7, VIM, HLA-DRA"
128,cmncdpfc-1,CD138,/data/yzy21/yy/aaran/out/crops/CD138/cmncdpfc-1.tif,,,,,"VIM, PTPRC, CD8A, HAVCR2, CCL5"
129,cmnmeggk-1,CD138,/data/yzy21/yy/aaran/out/crops/CD138/cmnmeggk-1.tif,,,,,"VIM, PTPRC, CXCR4, ACTG2, AIF1"
130,cmppkcde-1,CD138,/data/yzy21/yy/aaran/out/crops/CD138/cmppkcde-1.tif,signal,0.8,,2026-08-21T13:41:32,"MZB1, TENT5C, PECAM1, HLA-DRA, FKBP11"
131,cnbcmlmh-1,CD138,/data/yzy21/yy/aaran/out/crops/CD138/cnbcmlmh-1.tif,signal,0.8,,2026-08-21T13:41:48,"VIM, HLA-DRA, TENT5C, BCL2L11, CTSK"
132,cnggnkab-1,CD138,/data/yzy21/yy/aaran/out/crops/CD138/cnggnkab-1.tif,signal,0.8,,2026-08-21T13:42:06,"TENT5C, MZB1, PECAM1, SLAMF1, BCL2L11"
